Query,Output
"VALVULA MARIP AC 285psi 4"" LUG ANSI 150 VALVULA; DESIGNACION TIPO MODELO: MARIPOSA; MATERIAL CUERPO: ACERO KLM 11; MATERIAL TRIM: DISCO: ACERO KLM 12 ASIENTO: RPTFE; MEDIDA PRESION: 285psi; DIAMETRO NOMINAL: 4""; TIPO CONEXION: LUG ANSI 150; TIPO VASTAGO: FALTA INFORMACION; METODO ACCIONAMIENTO: ACTUADOR ELECTRICO 600 VAC - PROFIBUS DP",The part number in the provided text is 'KLM 11'.
"VALVULA MARIP AC 285psi 3"" LUG ANSI 150 VALVULA; DESIGNACION TIPO MODELO: MARIPOSA; MATERIAL CUERPO: ACERO KLM 11; MATERIAL TRIM: DISCO: ACERO KLM 12 ASIENTO: RPTFE; MEDIDA PRESION: 285psi; DIAMETRO NOMINAL: 4""; TIPO CONEXION: LUG ANSI 150; TIPO VASTAGO: FALTA INFORMACION; METODO ACCIONAMIENTO: ACTUADOR ELECTRICO 600 VAC - PROFIBUS DP",The part number from the given text is 'KLM 11'.
"CAJA REDUCTORA 1092kW 2956rpm 8,149 CAJA; DESIGNACION TIPO MODELO: REDUCTORA; MEDIDA POTENCIA: 1092kW (CAJA REDUCTORA); VELOCIDAD (RPM): 2956rpm; RELACION TOTAL: 8,149; POSICION EJE: HORIZONTAL (EJE ENTRADA, EJE INTERMEDIO, EJE SALIDA); TIPO EJE SALIDA: ENGRANAJE HELICOIDAL.; METODO MONTAJE: MANUAL; USO DESIGNADO: LOCOMOTORAS SCHALKE DE PRODUCCION TENIENTE 8 130TON.; CARACTERISTICAS ADICIONALES: CAJA REDUCTORA WATTEEUW DESARMADA , CONSISTE EN TODOS LOS COMPONENTES DE LA CAJA MAS BARRA DE TORQUE Y ACOPLAMIENTO LADO CAJA REDUCTORA",cant find the part number
"BOMBA DOSIFICADORA IWAKI EHE46E2FC BOMBA DOSIFICADORA (DOSING PUMP), POLIVINYLDENEFLUORIDE 210-230V, 0,9AMAX CONTROL ON OFF PULSO 4-20MA, 0-360 STROKE POR MINUTOS 0-100%STROKE, IWAKI EHE 46-E2-FC",EHE46E2FC
"CARRETE PORTA MANGUERA ALEMITE 8080A CARRETE PORTA MANGUERA, CARACTERISTICAS GENERALES: DIAMETRO 3 8"", LARGO 24M, REFERENCIA: ALEMITE 8080-A, USO O APLICACION: HARNERO R EXNORD 8X16",8080A
JGO REPUESTOS VALVULA SOLDYMAT SM411110 JUEGO REPUESTOS VALVULA P VALVULA FRENO REF:SOLDYMAT SM411110,SM411110
BALIZA MRM 800HZ/970HZ RUSSELL 10102946 BALIZA CONFIGURADO COMO MRM 800HZ 970HZ 98DBM FABRICANTE RUSSELL NUMERO DE PARTES 10102946 USO: ENLAINADORA 5 AÑOS,10102946
JOYSTICK BALANCIN/GATIL RUSSELL 10104285 JOYSTICK XY CON 2 BALANCIN VERTICAL Y GATILLO FABRICANTE RUSSELL NUMERO DE PARTES 10104285 USO: ENLAINADORA 5 AÑOS,10104285
VALVULA CONTRABALANCE RUSSELL 03B0195 VALVULA DE CONTRABALANCE 60LPM 3:1 GP FABRICANTE RUSSELL NUMERO DE PARTES 03B0195 USO: ENLAINADRA MANTENIMIENTO PREVENTIVO,03B0195
"EJE EXCENTRICO PLNGE2228841 EJE EXCENTRICO SEGUN PLANO N GE2-22884-1 USO: HARNEROS SIMPLE PARRILLA MODELO ALLIS CHALMERS, CHANCADO SEWELL",GE2-22884-1
MOTOR ASINCRONO DRN100LS4/FE Not Available,DRN100LS4/FE
ENCHUFE MACHO VOLANTE 3P+N+T 32 AMP. Not Available,cant find the part number
ENCHUFE MACHO VOLANTE 16 A. 220 V. 2 P + Not Available,cant find the part number
TUBO HIDRAULICO DE 38 M/M X 5 M/M Not Available,cant find the part number
ENCHUFE HEMBRE EMBUTIDO 220V.50/60HZ.16A Not Available,cant find the part number
TUBO POLIURETANO 8MM R/NEUMAT.BLANCO Not Available,cant find the part number
"ELECTRODO P/AC.DULCE B/H 3/32""-E7018 Not Available",cant find the part number
"CAÑERIA MANNESMANN S/C 2"" SCH 40 Not Available",cant find the part number
TUBO POLIURETANO 10MM R/NEUMAT.BLANCO Not Available,cant find the part number
PERFIL FE.CUADRADA 100 X 5 MM ESP. Not Available,cant find the part number
autocargables Not Available,cant find the part number
turbo Not Available,cant find the part number
trituradora Not Available,cant find the part number
estanque moto de herbicida Not Available,cant find the part number
ELECTROVALVULA 3/2 G ¼ 24VCC Not Available,cant find the part number
iPad (9Th Generacion) Wifi + Cellular MK473CI/A 64GB Space Gray Not Available,MK473CI/A
SOLDADURA INDURA SUPER ALLOY 3/32 Not Available,cant find the part number
MINI LIMIT SWITCH PLCA.ROD.KOINO KH8005 Not Available,KH8005
TUBO LED T8 120 CM 18W Not Available,cant find the part number
filtro respiradero 0160ma003bn hydac Not Available,0160MA003BN
REMACHADORA PROF.RE-9 9' TRUPER Not Available,cant find the part number
ATORNILLADOR BAHCOFIT AIS.1.2X6.5X150 Not Available,AIS.1.2X6.5X150
HUINCHA MEDIR 7.5 MTS FLG075/FLG9075 UYUSTOOLS Not Available,FLG075/FLG9075
DISCO CORTE KRAFTER 4 1/2 X 1 MM Not Available,cant find the part number
"ESCALERA PRODALUM TIJERA ALUMINIO MOD. 205 1,52 MT Not Available",205
TORNILLO MECANICO TRUPER TA-5 Not Available,TA-5
3M CINTA ALUMINIO 3311 48MMX 45 MTS Not Available,3311
KIT LUBRI.C/ENG.SOPL.POWERMIZER KAC90278 Not Available,KAC90278
BANCO DE BATERIAS PARA UPS Not Available,cant find the part number
"BEARING NU 1016 C3, INT. Ø 80 MM Mca.SKF Not Available",NU 1016 C3
"ABRAZADERA RIEL RUC 1/2"" Not Available",cant find the part number
ABRAZADERA MIKALOR 63 - 68 MM Not Available,cant find the part number
ABRAZADERA MIKALOR 37-40 MM W4 Not Available,cant find the part number
INTERRUPTOR AUTOMÁTICO MONOFASICO 25A Not Available,cant find the part number
INTERRUPTOR AUTOMATICO 1*1A Not Available,cant find the part number
INTERRUPTOR AUTOMATICO 1*32A Not Available,cant find the part number
INTERRUPTOR AUTOMATICO 3x25A C 6KA Not Available,cant find the part number
INTERRUPTOR AUTOMATICO 3*32A C 10KA Not Available,cant find the part number
INTERRUPTOR AUTOMATICO 3*16A C 10KA Not Available,cant find the part number
INTERRUPTOR AUTOMATICO 1*2A C 10KA Not Available,cant find the part number
INTERRUPTOR AUTOMATICO 3*10A C 10KA Not Available,cant find the part number
INTERRUPTOR AUTOMATICO 3*63A C 10KA Not Available,cant find the part number
INTERRUPTOR AUTOMATICO 1*16A C 10KA Not Available,cant find the part number
INTERRUPTOR AUTOMATICO 1*10A C 10KA Not Available,cant find the part number
"IMP.BBA.OMEGA 250-600 AC.INOX,600MM,HOMO Not Available",cant find the part number
Renovación certificados SSL DV Wildcard Not Available,cant find the part number
kit extractor de dos patas rodamientos skf Not Available,cant find the part number
Juego extractores de tres patas chicos y medianos SKF Not Available,cant find the part number
"Bandas con memoria molecular largo 11,8 cm tensión 0,18 (36 Unidades) Not Available",cant find the part number
Caja de vitamina C 100 mg (100 unidades) Not Available,cant find the part number
ALMIDON DE MAIZ Not Available,cant find the part number
Cinta impresora Not Available,cant find the part number
Panel filtrante Filtros Rotatorios Not Available,cant find the part number
"Monitor LG 24"" Not Available",cant find the part number
Audifonos Jabra Evolve 65 Modelo HSC018Wa Estereo Not Available,cant find the part number
Industrial garnets (Kit alineador láser Acoem AT-300 T) Alineador láser Acoem AT-300 T - Maleta rigida - Emisor/receptor láser - Pantalla c/bluetooth y wifi - Soportes de receptor/emisor - Extensión de cadenas - Bases magneticas - Cargador USB y adaptadores - Cinta metrica - Guía de uso rápida - Conexión wifi - Capacitación ,AT-300 T
PILAS TRIPLE A (AAA) RECARGABLES Not Available,cant find the part number
TONER CF283 Not Available,CF283
"DISCO DE CORTE 12"" X 3/32"" X1"" Not Available",cant find the part number
GUANTE NITRILO STANDAR Not Available,cant find the part number
CARETA FACIAL LIBUS 500 Not Available,cant find the part number
CORREA SPA 1380 Not Available,SPA 1380
"SILENCIADOR 1""NPT SAND S30 - TYPE M10 Not Available",cant find the part number
LIMA PLANA P/GRUESA 10 Not Available,cant find the part number
LUSTRA MUEBLES Not Available,cant find the part number
TOALLA MANO 2x250 MTS Not Available,cant find the part number
PAPEL HIGIENICO JUMBO 6X500MTS Not Available,cant find the part number
PAÑO WYPALL X80 VERDE Not Available,cant find the part number
CUBRE CALZADO Not Available,cant find the part number
COFIAS (BOLSA 100 UNI) Not Available,cant find the part number
PAÑO WYPALL X70 BLANCO Not Available,cant find the part number
"FUELLE DE GOMA 1500MM x 5 1/2"" Not Available",cant find the part number
CORREA V A-43 Not Available,A-43
CLORO GEL Not Available,cant find the part number
BLOQUEADOR SOLAR INDIVIDUAL Not Available,cant find the part number
PAPEL HIGIENICO ROLLO 6 X 500 Not Available,cant find the part number
PAÑO WYPALL X70 BLANCO Not Available,cant find the part number
PAÑO WYPALL X80 AZUL Not Available,cant find the part number
ESCOBILLON MUNICIPAL VIRUTEX C/ MANGO Not Available,cant find the part number
Nivel laser profesional Brooklyn autonivelante rojo 2 lineas Not Available,cant find the part number
Huincha indicador de distancia laser 50m Not Available,cant find the part number
Sensor medidor de nivel de sonido ruido digital Not Available,cant find the part number
Termometro digital infrarrojo Laser Not Available,cant find the part number
Luxometro digital medidor de luz Not Available,cant find the part number
VARIADOR DE FRECUENCIA 90KW /400V Not Available,cant find the part number
RETEN 80-100-10 MM L/SIMPLE CB Not Available,cant find the part number
UPS 500 W Not Available,cant find the part number
HERRAMIENTAS COPIAPO Not Available,cant find the part number
termiNAL de pvc HE 63MM Not Available,cant find the part number
"SOLDADURA 6011 1/8"" 1 KG Not Available",cant find the part number
"SOLDADURA 6011 3/32"" 1KG Not Available",cant find the part number
SOLDADURA 6010 3/32'' INDURA 1KG Not Available,cant find the part number
SOLDADURA 7018 1/8'' INDURA 1KG Not Available,cant find the part number
SOLDADURA 7018 3/32'' INDURA 1KG Not Available,cant find the part number
SOLDADURA 6010 1/8'' INDURA 1KG Not Available,cant find the part number
PROYECTOR LED 200W MOD.TANGO G3-BVP382 PHILLIPS N/P 911401842898 Not Available,911401842898
PIÑÓN SEW MN1.00 Z25 L26 D18 COD: 41297 Not Available,41297
REDUCTOR SEW DE EJES PARALELOS FAF37/A Not Available,FAF37/A
"REDUCTOR SEW RX67/A, REDUCTOR SEW RX67/A VELOCIDAD [R/MIN] :1400 / 438 Not Available",RX67/A
Disco duro externo Not Available,cant find the part number
Mouse inalámbrico Not Available,cant find the part number
CARRO PORTA CONDUCTOR PARA RIEL 164 BIS Not Available,cant find the part number
MAQUINA TERMOLAMINADORA Not Available,cant find the part number
LAMINA TERMOLAMINADA OFICIO Not Available,cant find the part number
guillotina Not Available,cant find the part number
"MALLA RASCHEL 80% NEGRA 2,10 Metros ROLLO 50 Metros Not Available",cant find the part number
MALLA RASCHEL VERDE 80% X 2.10 Metros Not Available,cant find the part number
FILTRO 7093C 3M Not Available,7093C
RODILLO CHIPORRO 12 CMS Not Available,cant find the part number
MASCARILLA FULL FACE Not Available,cant find the part number
BRIDA ACERO STUB END 110 mm Not Available,cant find the part number
"VALV.GUILL.VCH 14"",AC.MAN,CL150,CJA REDU Not Available",cant find the part number
"VALV.MARIPOSA HP AC.ELECTRICO 14"" Not Available",cant find the part number
"ELECTRODO 3/32"" 6011 Not Available",cant find the part number
"BISAGRA 2 1/2"" X 3"" DEVA Not Available",cant find the part number
ESCOBILLA ACERO C/MANGO HELA Not Available,cant find the part number
CABLE CONTROL OLFLEX CLASSIC 115CY 4G* 0 .75MM2 Not Available,cant find the part number
"EASYRACK800/42U/1200W.SIDES,CASTORS,FEET ER8222 Not Available",ER8222
LLAVE PASO PPR 25 MM Not Available,cant find the part number
"TERMINAL PVC HI CE 25 X 3/4"" Not Available",cant find the part number
TUBERIA PVC HID 75 Not Available,cant find the part number
CODO PVC CE 75 X 90? Not Available,cant find the part number
KIT PEPAS CON SACA PEPAS 45 UND Not Available,cant find the part number
COPLA HDPE E/F 75 MM PN 10 Not Available,cant find the part number
GUANTE QUIRURGICO Not Available,cant find the part number
CINTA PARA ROTULADOR DYMO Not Available,cant find the part number
VIDRIO TRANSPA INASTILLABLE 452X306X12MM Not Available,cant find the part number
TERMORETRACIL 2MM ROLLO 200MT Not Available,cant find the part number
TERMORETRACIL 4MM ROLLO 200MT Not Available,cant find the part number
COND.ELECTROLITICO 1000UF 35V D:10MM L:20MM Not Available,cant find the part number
LLAVE IMPACTO 1/2 18V 1050NM Not Available,cant find the part number
LLAVE IMPACTO 1/2 18V 280NM Not Available,cant find the part number
Yegua de carga 2 en 1 70/137 kg Marca Stanley Not Available,cant find the part number
GUANTE PROTECCION MECANICA Not Available,cant find the part number
PRUNES SAW BLADES DE DIENTES LARGOS Not Available,cant find the part number
PIZARRA ACRILICA 120X150 Not Available,cant find the part number
PIZARRA ACRILICA 120X86 CM Not Available,cant find the part number
PIZARRA DE CORCHO 60X45 Not Available,cant find the part number
LAPIZ PASTA BIC ROJO Not Available,cant find the part number
PLUMON PERMANENTE NEGRO Not Available,cant find the part number
LAMINAS PARA TERMOLAMINAR TAMAÑO CARTA Not Available,cant find the part number
ARGOLLAS SEPARADORAS 2MM Not Available,cant find the part number
CUCHILLO ESTRELLA Not Available,cant find the part number
DEDOS SEPARADORES Not Available,cant find the part number
PLUMÓN PERMANENTE ROJO Not Available,cant find the part number
REGLA METALICA Not Available,cant find the part number
TIJERA GRANDE Not Available,cant find the part number
CAJAS DE CORCHETES Not Available,cant find the part number
CORRECTOR LINEAL Not Available,cant find the part number
REPUESTOS DE EQUIPO Not Available,cant find the part number
BATERIA DE 12 VOLT 100AMP. CCA 700 AMP. Not Available,cant find the part number
LIMPIA VIDRIO Not Available,cant find the part number
ENDULZANTE Not Available,cant find the part number
batería adicional HELI modelo CBD15J-Li3 Not Available,CBD15J-Li3
TRANSPALETA ELECTRICA CAPACIDAD 1600-1800 KG Not Available,cant find the part number
(FV) SENSOR DETECCION ULTRASONIDO UB 250 Not Available,cant find the part number
Refractómetro Not Available,cant find the part number
SACO CEMENTO 25 KG Not Available,cant find the part number
